Fuente,Author,Title,Cant.,Abstract,Cant.,Keywords,Cant.,Publication Title,Year,Url
Gscholar,"Gonzalez, M. V.; Miravé, J. P.; Saluzzo, J. A.; Rattin, J.; Tognetti, J. A.",Relaciones entre el Tamaño y la Conservación de Bulbos de Cebolla para Diferentes Cultivares y Condiciones de Almacenamiento,18,"Se estudió la influencia del tamaño de los bulbos de cebolla sobre las tasas de brotación y pérdida de peso en poscosecha, en experimentos con cultivares de diferente precocidad y bajo temperaturas de almacenamiento contrastantes. El período de dormición de los bulbos chicos no difirió respecto de la de los bulbos de calibre grande, mientras que la pérdida de peso de aquellos fue superior a la de los bulbos grandes, en relación directa con su mayor cociente superficie:volumen. El incremento en las pérdidas de peso atribuible al tamaño pequeño de bulbos fue importante bajo condiciones de almacenamiento comercial (no refrigerada), en períodos prolongados de almacenamiento, o en cultivares de ciclo corto. Esto sugiere la conveniencia de la clasificación de bulbos con el fin de efectuar la comercialización anticipada de los de menor calibre, especialmente para las situaciones antedichas o en cultivos destinados a la exportación. ",146,"Allium cepa, conservación poscosecha, brotación, tasa de pérdida de peso.",10,FAVE Sección Ciencias Agrarias,2005,http://bibliotecavirtual.unl.edu.ar/ojs/index.php/FAVEAgrarias/article/download/1310/2057
Redalyc,"González, A. M.; Romano, E.; Tracanna, M. I.; Rachi, A.; Medvescigh, J.; Popich, S.; Benavente, A.",108-PRODUCTO NATURAL COMO ALTERNATIVA DE CONTROL DE ENFERMEDADES FÚNGICAS EN OLIVO,0,"A partir de partes aéreas de Xenophyllum poposum (Phil) V.A. Funk (ex. Werneria poposa Phil. ), cuyo nombre común en Argentina es “poposa”, “puposa” o “fosfosa”, se aisló e identificó la sustancia 2R-(-)-6-hidroxitremetona. En el presente trabajo se evaluó, in vitro, la actividad antifúngica de esta sustancia, frente a Fusarium semitectum Berk. and Rav, hongo fitopatógeno, aislado de la rizosfera de cultivares de olivo (Olea europea L.) en el valle Antinaco- Los Colorados, departamento Chilecito, provincia de La Rioja, Argentina. Mediante la técnica de difusión en agar se ensayaron diferentes concentraciones: 20, 30 y 40 µg/mL de 2R-(-)-6-hidroxitremetona. La concentración de 40 µg/mL produjo mayor inhibición del crecimiento frente a F. semitectum",0,"Fusarium semitectum, 2R-(-)-6-hidroxitremetona, olivo. ",0,Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas,2007,http://www.researchgate.net/profile/Elida_Romano/publication/237041395_PRODUCTO_NATURAL_COMO_ALTERNATIVA_DE_CONTROL_DE_ENFERMEDADES_FNGICAS_EN_OLIVO/links/0f31752dda449f1ff5000000.pdf
Gscholar,"Echevarria, Ada Lilian; Marano, Claudia Fabiana; Chani, José María; COCIMANO, MA","Composición de la comunidad de aves del Embalse La Angostura, Tafí del Valle, Tucumán, Argentina",0,"Los estudios de las comunidades de aves contribuyen al conocimiento del rol que los humedales pueden cumplir en la conservación de la biodiversidad dentro de los biomas en los que están ubicados. Se realizaron censos de transecta de faja y se calcularon abundancia relativa, frecuencia e índice de importancia relativa. En los 121 censos realizados, se registraron 43.243 individuos, pertenecientes a 68 especies, más 10 especies observadas fuera de censo, distribuidas en 27 familias y 12 ordenes. Las especies con mayores valores en los índices calculados fueron Anas georgica, Fulica ardesiaca, Fulica armillata, Anas flavirostris, Phalacrocorax brasilianus y Vanellus chilensis. Se registraron cuatro nuevas especies de distribución altoandinas (Fulica ardesiaca, Oxyura ferruginea, Anas puna y Plegadis ridgwayi) y la nidificación de cuatro Fulica spp. en forma simultánea. Además se señala por primera vez la nidificación de Coscoroba coscoroba para esta altitud.",0,"humedales, embalses, aves, riqueza de especies.",0,Acta zoológica lilloana,2008,http://www.researchgate.net/profile/Ada_Echevarria/publication/275035191_Comunidad_de_aves_del_Embalse_La_Angostura_Taf_del_Valle_Tucumn_Argentina/links/55303c6c0cf27acb0de8561b.pdf
Scopus,"Cioccale, Marcela A.; Pasquini, Andrea I.; Depetris, Pedro J.","Hallazgo de espeleotemas silíceas en rocas graníticas del batolito de Achala, Sierras Pampeanas de Córdoba",0,"Se presentan los primeros resultados en relación con el hallazgo de espeleotemas silíceas en rocas graníticas del batolito de Achala (Córdoba). Estas espeleotemas constituyen formas de acumulación en un ambiente dominado por procesos erosivos; alcanzando un desarrollo de unos de pocos milímetros hasta dos centímetros de espesor. Se localizan en grietas abiertas y paredes de tafonis. Presentan morfologías variadas que incluyen estalactitas y espeleotemas tipo flowstone. Están compuestas por sílice amorfa (ópalo A), yeso y fragmentos detríticos de cuarzo, feldespatos y micas. El modelado geoquímico, mediante el programa PHREEQC, permite simular la formación de estas espeleotemas a partir de procesos de evaporación del agua que circula a través de la roca fracturada.",0,Espeleotemas; Rocas graníticas; Modelado geoquímico; Ópalo A; Argentina,0,Revista de la Asociación Geológica Argentina,2008,http://www.scielo.org.ar/scielo.php?pid=S0004-48222008000300009&script=sci_arttext
Scopus,"Juri, María D.; Chani, José M.",Variación estacional en la composición de las comunidades de aves en un gradiente urbano,0,"La urbanización afecta de manera compleja la avifauna de una región y numerosos estudios realizados en el Hemisferio Norte muestran una mayor incidencia negativa sobre las especies migratorias. En una zona urbana de la provincia de Tucumán, un trabajo previo reveló que la riqueza de aves aumenta con la cobertura vegetal de las urbanizaciones, si bien no se conoce su patrón estacional ni en qué medida el grado de urbanización afecta de forma diferencial a las especies residentes y a las visitantes. En este trabajo analizamos la variación estacional de la comunidad de aves y evaluamos el impacto de la urbanización sobre las especies residentes y visitantes, en un gradiente urbano durante un período de dos años. La diversidad varió estacionalmente en los tres sitios: en el sitio más urbanizado fue mayor en primavera mientras que en los sitios con urbanización intermedia y menor fue mayor en invierno y otoño. En las zonas urbanas con mayor volumen de vegetación la riqueza de especies en general fue mayor y, en particular, la proporción de especies visitantes. Nuestros datos sugieren que el aumento de jardines y árboles en la ciudad permitiría la llegada de más visitantes, ya sean migratorias o residentes de los entornos naturales que utilizan la ciudad como refugio",0,Urbanización; Migración de aves; Desplazamiento altitudinal; Yungas; Selva pedemontana; Tucumán,0,Ecología austral,2009,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1667-782X2009000300001
Scielo,"Torres, Ricardo; Jayat, J. Pablo","Modelos predictivos de distribución para cuatro especies de mamíferos (Cingulata, Artiodactyla y Rodentia) típicas del Chaco en Argentina",0,"Los acelerados cambios ambientales producidos por el hombre hacen necesario el estudio detallado del rango geográfico de las especies. En la actualidad, el Chaco argentino constituye una de las ecorregiones con las tasas de transformación más altas, lo que ha colocado a sus mamíferos en una posición delicada desde el punto de vista de la conservación. Mediante técnicas de modelado de la distribución potencial y utilizando el software Maxent, en este trabajo estudiamos el conjunto de variables climático-ambientales más importantes en la predicción de la distribución actual de Catagonus wagneri, Pediolagus salinicola, Priodontes maximus y Tolypeutes matacus. Reportamos además las hipótesis de distribución potencial obtenidas sobre la base de dos umbrales de corte. Estas hipótesis se discuten con el objeto de obtener una aproximación a la distribución real y evaluar sus implicancias en un contexto de conservación. El número de variables explicativas que intervinieron en el ajuste de los modelos no fue superior a siete, siendo la pendiente y la precipitación del mes más seco las más frecuentemente seleccionadas. Los modelos tuvieron un buen desempeño, con valores de AUC superiores a 0.79. Para ninguna de las especies modeladas se obtuvo un porcentaje de área de distribución superior al 30% respecto del total del área de estudio y en todos los casos menos del 3% está incluida dentro de áreas protegidas. C. wagneri es la especie con la menor área geográfica predicha, presentando un distribución disyunta con cuatro parches principales ubicados en la región del chaco semiárido",0,Catagonus; Maxent; ediolagus;Priodontes;Tolypeutes,0,Mastozoología neotropical,2010,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0327-93832010000200008
Gscholar,"Lobo Allende, Rebeca Isabel; Echevarria, Ada Lilian; Juri, María Dolores","Distribución y abundancia de cuatro especies de aves endémicas del monte en Catamarca y La Rioja, Argentina",0,"El monte de sierras y bolsones es uno de los ambientes áridos menos explorado a nivel de especies de aves. Asthenes steinbachi, Pseudoseisura gutturalis ochroleuca, Teledromas fuscus y Poospiza ornata presentes en este ambiente, son especies endémicas de Argentina, categorizadas como vulnerables a nivel nacional. El objetivo de este trabajo es actualizar su distribución y aportar información sobre su presencia en nuevas localidades de las provincias de Catamarca y La Rioja, y sobre su abundancia y aspectos biológicos y ecológicos. En Catamarca, se realizaron 203 transectas de faja, 82 puntos de radio fijo, y 50 hs de observaciones al azar, registrando 58 individuos de Teledromas fuscus, 20 Pseudoseisura gutturalis ochroleuca, y 2 Poospiza ornata. En La Rioja, se realizaron 308 transectas de faja y 20 hs de observaciones al azar, identificando 17 Asthenes steinbachi, 18 Pseudoseisura gutturalis ochroleuca, 12 Teledromas fuscus, y 16 Poospiza ornata. Se examinaron además ejemplares depositados en la Colección Ornitológica de la Fundación Miguel Lillo (COFML), Tucumán, y se revisaron antecedentes bibliográficos para completar los datos aportados. Se pudo establecer nuevas localidades  de distribución y se aportan datos sobre la abundancia, aspectos biológicos y ecológicos de estas cuatro especies endémicas de Catamarca y La Rioja, relacionando la información obtenida con datos de colección y datos bibliográficos. Este trabajo puede servir de base para futuras investigaciones poblacionales que buscan establecer categorías de conservación en especies endémicas de Monte",0,"Aves, endemismo, distribución, Monte",0,Acta zoológica lilloana,2010,http://www.researchgate.net/profile/Ada_Echevarria/publication/275035439_Distribucin_y_abundancia_de_cuatro_especies_de_aves_endmicas_del_monte_en_Catamarca_y_La_Rioja_Argentina/links/55303df30cf20ea0a06f679e.pdf
Gscholar,"Pérez, Carlos; NY, EUA; Vanek, Steven; NY, EUA; Sherwood, Steven; Chilecito, La Rioja; Garrett, Argentina Karen A.; Kansas, E. U. A.; Perez, C.; Nicklin, C.; others",CAMBIO CLIMÁTICO EN LA ZONA ALTO-ANDINA: IMPLICACIONES Y ESTRATEGIAS DE ADAPTACIÓN PARA PEQUEÑOS AGRICULTORES,0,"El cambio climático representa una importante amenaza a la agricultura sostenible en los Andes. Los agricultores han usado sus conocimientos ecológicos locales e intricados sistemas de producción para enfrentar, adaptarse y reorganizarse de acuerdo con la incertidumbre y riesgos climáticos, que siempre han sido un hecho de vida. Estos sistemas tradicionales generalmente son altamente resilientes, pero los efectos, tasas y variabilidad pronosticados del cambio climático podrían presionarlos más allá de su rango de adaptabilidad. Este artículo revisa el grado de los impactos reales y potenciales de la variabilidad y cambio climático en pequeños agricultores en los altos andinos de Bolivia, Ecuador y Perú. Describe cómo el cambio climático impacta a la agricultura a través de la desglaciación, cambios en la hidrología, suelo y poblaciones de plagas enfermedades. El artículo destaca algunas estrategias adaptativas prometedoras o potenciales que están en uso por parte de productores, comunidades rurales e instituciones locales para mitigar los efectos del cambio climático a la vez que conservan el sustento y sostenibilidad ambiental y social de la región",0,"Andes, agricultura sostenible, cambio climático, suelo, IPM, glaciares",0,,2010,http://cambioclimatico-pnud.org.bo/paginas/admin/uploaded/publicaciones/Perez-Cambio%20Climatico%20en%20los%20Andes.pdf
Redalyc,"Villafañe Vega, Normando; Saluzzo Rinaldi, José Alberto; others","Modificación de la fertilidad por prácticas de manejo del suelo en Famatina, La Rioja, Argentina",0,"En Famatina, La Rioja (Argentina) en cultivo de ajo (Allium sativum L.) en suelo franco arenoso se dispusieron melgas con los tratamientos de suelo siguientes: T1 = 2 años consecutivos sin fertilizantes ni abono después de 1 año sin cultivar; T2 = 2 años consecutivos con fertilizantes químicos (FQ) y 1 año previo con cultivo de ajo; T3 = 1 año con FQ más 23 t/ha de abono orgánico caprino precedido de un cultivo de avena (Avena sativa L.); T = 2 años consecutivos con FQ y abono caprino (23 t/ha) en suelo cultivado previamente con avena; T5 = 1 año con FQ después de 2 años cultivado con avena; T6 = 1 año con FQ y 2 años previos con cultivo de alfalfa (Medicago sativa L.). Se tomaron muestras de suelo a la siembra y en la cosecha hasta 80 cm de profundidad. Se empleó el análisis de componente principal (ACP) para las variables de suelo. Los contenidos de materia orgánica, NO3 -, N total, P y K fueron favorecidos por los T3 y T4 en comparación con el T2. El cultivo de alfalfa favoreció los menores valores de pH (6.2) y conductividad eléctrica (CE) asociados con valores máximos de nitratos entre 30 y 80 cm de profundidad. En esta profundidad, los T3 y T4 presentaron contenidos de nitrato similares a los de T2 y T5. En el T2, después de 2 años el pH cambió de 7.2 a 6.8, el contenido de C de 0.6 a 0.4% y aumentó la CE de 1.9 a 2.8 dS/m",0,"Suelo, fertilización, aplicación de abonos, abonos orgánicos, abonos compuestos; Soil, organic fertilization, chemical fertilization",0,"Acta Agronómica; Vol. 59, núm. 2 (2010); 188-196 2323-0118 0120-2812",2010,http://www.bdigital.unal.edu.co/20192/
Scielo,"Halloy, Stephan; Ibáñez, Mercedes; Yager, Karina",Puntos y áreas flexibles (PAF) para inventarios rápidos del estado de biodiversidad,0,"El método de puntos y áreas flexibles de inventario rápido (PAF) combina los clásicos métodos de intercepción de puntos con áreas de muestreo o cuadrantes; registrando puntos a lo largo de una línea (el método de intercepción de puntos) pero incorporando además un área de uno a varios metros (cuadrante flexible) a cada lado para incluir las especies más raras en forma cuantitativa. Esta combinación resuelve la tensión que existe entre la objetividad de la evaluación de cobertura vs. inclusión de las especies más raras. En el PAF las áreas incluyen a las especies más raras de manera cuantitativa y relacionable con el área muestreada, pero con un mínimo de pisoteo a la vegetación y un mínimo de esfuerzo de muestreo. Esto permite análisis estadísticos más avanzados como obtención de curvas especie-área, derivación de curvas de rango-abundancia y los análisis respectivos, cálculo de índices como los de diversidad de Shannon-Weaver, equitatividad y ajuste lognormal (ΔL), entre otros",0,"Conservación, Métodos de muestreo de biodiversidad, Monitoreo, Pastizales, PAF",0,Ecología en Bolivia,2011,http://www.scielo.org.bo/scielo.php?pid=S1605-25282011000100005&script=sci_arttext
